"SAMPLEID","INDEX_NAME","SITE_TYPE","L1","L2","L3","L4","L5","L6"
"WAM06600-005973-DCE-2010-0722-14:35","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.5,0.5,0,0,0
"WAM06600-006062-DCE-2011-0810-10:55","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"WAM06600-007006-DCE-2011-0801-09:56","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0.9,0.1,0
"WAM06600-008504-DCE-2012-0801-09:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.28571428571429,0.71428571,0,0,0
"WAM06600-008504-DCE-2017-0725-09:44","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0,0.1,0.9
"WAM06600-009134-DCE-2011-0828-11:35","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.95681381957774,0.04318618,0,0
"WAM06600-009134-DCE-2015-0825-09:40","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.5,0.5,0,0
"WAM06600-009724-DCE-2012-0829-08:15","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"WAM06600-009724-DCE-2017-0724-09:45","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.333333333333333,0.66666667,0,0,0
"WAM06600-009724-DCE-2017-0822-09:24","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.666666666666667,0.33333333,0,0,0
"WAM06600-009790-DCE-2011-0827-15:40","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.56363636363636,0.43636364,0,0,0
"WAM06600-009790-DCE-2015-0811-09:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.333333333333333,0.66666667,0,0,0
"WAM06600-011061-DCE-2014-0727-10:21","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,1,0,0
"WAM06600-011788-DCE-2012-0818-11:20","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.416044776119403,0.58395522,0,0,0
"WAM06600-011788-DCE-2017-0723-11:40","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.54626334519573,0.45373665,0,0
"WAM06600-011788-DCE-2017-0819-08:59","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.10569105691057,0.89430894,0,0
"WAM06600-013920-DCE-2017-0712-09:27","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.1,0.8,0.1,0
"WAM06600-017264-DCE-2012-0731-14:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.36731843575419,0.63268156,0,0,0
"WAM06600-017264-DCE-2017-0901-09:15","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.50432525951557,0.49567474,0,0,0
"WAM06600-017616-DCE-2012-0813-10:15","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"WAM06600-017680-DCE-2012-0814-09:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"WAM06600-018208-DCE-2012-0808-13:50","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.5,0.5,0,0
"WAM06600-018296-DCE-2012-0815-11:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0.7,0.3,0
"WAM06600-020634-DCE-2015-0806-09:23","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"WAM06600-021552-DCE-2017-0821-10:55","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.6,0.4,0,0
"WAM06600-021900-DCE-2017-0819-08:52","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.6,0.4,0,0
"WAM06600-024284-DCE-2012-0804-09:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0999999999999996,0.9,0,0,0
"WAM06600-024830-DCE-2015-0930-09:26","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0,1,0
"WAM06600-034366-DCE-2011-0817-17:15","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.85199240986717,0.14800759,0,0,0
"WAM06600-034366-DCE-2015-0715-09:04","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.833333333333333,0.16666667,0,0,0
